Wall time,Step,Value
1725205247.9236472,0,-0.0649184063076973
1725205249.6398706,500,0.17045694589614868
1725205251.3391764,1000,0.4493221640586853
1725205253.1018136,1500,0.20848804712295532
1725205254.797594,2000,-0.05510448291897774
1725205256.4957385,2500,0.17286056280136108
1725205258.2041106,3000,0.15277141332626343
1725205259.9639108,3500,0.14946067333221436
1725205261.5915458,4000,0.2769472301006317
1725205263.251891,4500,-0.3992300033569336
1725205264.964404,5000,0.41560715436935425
1725205266.743934,5500,-0.1649942249059677
1725205268.4408634,6000,-0.48459592461586
1725205270.176268,6500,-0.27008718252182007
1725205271.8738086,7000,0.16050627827644348
1725205273.5484374,7500,0.5355772972106934
1725205275.2897477,8000,0.07251390069723129
1725205277.0807724,8500,-0.05526777356863022
1725205278.7938354,9000,0.498517781496048
1725205280.4916341,9500,0.25140875577926636
1725205282.187172,10000,0.5736610293388367
1725205283.8993027,10500,0.39734697341918945
1725205285.60709,11000,0.13294880092144012
1725205287.3526754,11500,0.5559204816818237
1725205289.1520615,12000,0.03737696260213852
1725205290.8646674,12500,0.568492591381073
1725205292.5643952,13000,0.08433184772729874
1725205294.2749343,13500,0.30768996477127075
1725205295.9627876,14000,0.030225854367017746
1725205297.608932,14500,0.29219719767570496
1725205299.3542275,15000,0.5933144688606262
1725205301.1056447,15500,0.3833908438682556
1725205302.8294153,16000,0.5462327599525452
1725205304.6774046,16500,0.0195071492344141
1725205306.381749,17000,-0.2533103823661804
1725205308.1317196,17500,-0.4739988446235657
1725205309.914375,18000,0.20865248143672943
1725205311.6180398,18500,0.35939082503318787
1725205313.3742847,19000,0.09213288873434067
1725205315.087991,19500,-0.10422490537166595
1725205316.830831,20000,0.2108878344297409
1725205318.5530608,20500,0.5975344777107239
1725205320.2717838,21000,0.5071107745170593
1725205321.9763258,21500,-0.2338281124830246
1725205323.7834682,22000,0.2835333049297333
1725205325.445057,22500,0.3708759844303131
1725205327.1750784,23000,0.5939001441001892
1725205328.8937507,23500,0.17564640939235687
1725205330.588193,24000,0.331127405166626
1725205332.308897,24500,-0.03318558633327484
1725205334.0391796,25000,-0.02051624469459057
1725205335.7457826,25500,0.13957832753658295
1725205337.439044,26000,0.5979845523834229
1725205339.173185,26500,0.37813103199005127
1725205340.905084,27000,0.32463338971138
1725205342.626586,27500,0.26294299960136414
1725205344.383859,28000,0.013594197109341621
1725205346.3426893,28500,-0.24954785406589508
1725205348.0622516,29000,0.4937251806259155
1725205349.7732475,29500,-0.24990876019001007
1725205351.4765189,30000,0.4559767544269562
1725205353.2186055,30500,-0.12008189409971237
1725205354.9706123,31000,0.48402145504951477
1725205356.7228773,31500,0.09358228743076324
1725205358.4585412,32000,0.4994436502456665
1725205360.154899,32500,0.2831059992313385
1725205361.825772,33000,-0.168068066239357
1725205363.5377982,33500,-0.2830354869365692
1725205365.2416062,34000,0.09267215430736542
1725205366.9648392,34500,0.029923340305685997
1725205368.671388,35000,0.20566092431545258
1725205370.3559554,35500,0.325217068195343
1725205372.0411322,36000,0.3757838308811188
1725205373.723957,36500,0.05820844694972038
1725205375.474491,37000,0.35383930802345276
1725205377.371383,37500,0.4039318859577179
1725205379.096102,38000,0.10004131495952606
1725205380.7811346,38500,0.4077063202857971
1725205382.5109906,39000,-0.0012011744547635317
1725205384.1858702,39500,0.4646495580673218
1725205385.9299119,40000,0.4942683279514313
1725205387.6269977,40500,0.12018663436174393
1725205389.2923884,41000,0.30940213799476624
1725205390.9917424,41500,0.10184378176927567
1725205392.6681218,42000,0.30755794048309326
1725205394.409342,42500,0.1328696757555008
1725205396.149121,43000,-0.197723388671875
1725205397.8188808,43500,0.5029842853546143
1725205399.5296404,44000,0.5898023843765259
1725205401.271271,44500,0.3594296872615814
1725205402.915902,45000,-0.0025369743816554546
1725205404.6922786,45500,0.13985872268676758
1725205406.3895257,46000,0.02855183742940426
1725205408.1388292,46500,0.23382550477981567
1725205409.843398,47000,0.05322206765413284
1725205411.6092901,47500,0.026309123262763023
1725205413.5289145,48000,-0.41334038972854614
1725205415.28861,48500,0.017245352268218994
1725205417.012979,49000,-0.04876745864748955
1725205418.7554939,49500,0.43849340081214905
1725205420.518926,50000,0.4255163371562958
1725205422.2110329,50500,0.19082742929458618
1725205423.9777381,51000,-0.14207515120506287
1725205425.7024944,51500,0.1909967064857483
1725205427.4005406,52000,0.25998416543006897
1725205429.151185,52500,0.4146878719329834
1725205430.8260922,53000,0.36158737540245056
1725205432.5652862,53500,0.02214677818119526
1725205434.308752,54000,0.4952448010444641
1725205436.0407045,54500,0.38861051201820374
1725205437.7693567,55000,0.09631042927503586
1725205439.5145977,55500,0.564228892326355
1725205441.2315772,56000,0.30854251980781555
1725205442.9194365,56500,0.31878793239593506
1725205444.6535137,57000,0.022479644045233727
1725205446.3689413,57500,0.21704426407814026
1725205447.9989574,58000,0.532452404499054
1725205449.706845,58500,0.48165714740753174
1725205451.44042,59000,0.053046464920043945
1725205453.1373658,59500,0.20488595962524414
1725205454.879892,60000,0.37613147497177124
1725205456.5665362,60500,0.4730849862098694
1725205458.3073483,61000,0.1627976894378662
1725205460.3247771,61500,-0.15607436001300812
1725205462.0077713,62000,0.1592368632555008
1725205463.7243252,62500,0.06793581694364548
1725205465.5058625,63000,-0.10834630578756332
1725205467.2208328,63500,0.020550984889268875
1725205468.8789105,64000,-0.236657053232193
1725205470.6306255,64500,-0.2517099380493164
1725205472.383035,65000,0.1488477885723114
1725205474.0996554,65500,0.3088859021663666
1725205475.798205,66000,0.4669560194015503
1725205477.5514836,66500,-0.020442020148038864
1725205479.2338107,67000,0.02921130694448948
1725205481.0290453,67500,0.2450358122587204
1725205482.8064296,68000,-0.5839104652404785
1725205484.573768,68500,0.14404375851154327
1725205486.2608757,69000,0.033678021281957626
1725205488.0056322,69500,0.14757326245307922
1725205489.6561077,70000,0.1798633337020874
1725205491.3663769,70500,0.30107295513153076
1725205492.9937375,71000,0.3583886921405792
1725205494.7299774,71500,0.17949652671813965
1725205496.3930094,72000,-0.014669928699731827
1725205498.1340532,72500,-0.05590334162116051
1725205499.8113792,73000,-0.003458090592175722
1725205501.49386,73500,0.5912821888923645
1725205503.2322912,74000,0.33173736929893494
1725205505.002334,74500,0.16896823048591614
1725205506.7224042,75000,0.3520852029323578
1725205508.485156,75500,0.5776798725128174
1725205510.1659172,76000,-0.0945233702659607
1725205511.8249874,76500,0.49764516949653625
1725205513.6317146,77000,-0.42046672105789185
1725205515.3031836,77500,-0.33691754937171936
1725205517.3882785,78000,0.1975686103105545
1725205519.104337,78500,0.5473782420158386
1725205520.83676,79000,0.20901143550872803
1725205522.4768338,79500,0.5419552326202393
1725205524.2543128,80000,0.05311097949743271
1725205526.0254521,80500,0.01862255297601223
1725205527.7135644,81000,0.18956245481967926
1725205529.3799088,81500,0.06709106266498566
1725205531.166057,82000,-0.28829941153526306
1725205532.8743782,82500,0.12144913524389267
1725205534.6511056,83000,0.16004197299480438
1725205536.367832,83500,0.3933658003807068
1725205538.1293437,84000,0.2885442078113556
1725205539.820685,84500,0.11452312767505646
1725205541.5303383,85000,0.3996209502220154
1725205543.3259313,85500,-0.03323664888739586
1725205545.0206969,86000,0.46376246213912964
1725205546.7983494,86500,0.02861199527978897
1725205548.5159118,87000,0.33497050404548645
1725205550.16641,87500,-0.2704160511493683
1725205551.830345,88000,-0.06313715875148773
1725205553.544305,88500,0.5672863721847534
1725205555.240916,89000,0.411636620759964
1725205556.9913735,89500,0.05910194292664528
1725205558.782073,90000,0.10277111083269119
1725205560.545315,90500,0.3623921573162079
1725205562.262393,91000,0.052177734673023224
1725205564.0694776,91500,0.41187602281570435
1725205565.7725644,92000,0.34044748544692993
1725205567.52487,92500,0.49921709299087524
1725205569.2279437,93000,0.28780990839004517
1725205570.9812965,93500,0.566996693611145
1725205572.6569567,94000,-0.006546142045408487
1725205574.410872,94500,0.1713145226240158
1725205576.2029552,95000,-0.19851575791835785
1725205577.8647566,95500,-0.2000371664762497
1725205579.56372,96000,-0.02730480767786503
1725205581.346735,96500,-0.1837083101272583
1725205583.0520546,97000,-0.07325763255357742
1725205584.8356109,97500,0.02576502412557602
1725205586.5121632,98000,-0.047795768827199936
1725205588.3062959,98500,-0.05393253266811371
1725205590.3918948,99000,-0.15355005860328674
1725205592.1610465,99500,0.11531774699687958
